"","country","year","admin1","admin2","vaccine_name","target_define","doses","target_number"
"6132","GHA",2022,"Ashanti","Asante Mampong","DTP1","SURVIVING_INFANT",4397,5618
"6133","GHA",2022,"Ashanti","Asokore Mampong","DTP1","SURVIVING_INFANT",8773,8621
"6134","GHA",2022,"Ashanti","Asokwa","DTP1","SURVIVING_INFANT",5401,6003
"6135","GHA",2022,"Ashanti","Atwima Kwanwoma","DTP1","SURVIVING_INFANT",8528,10351
"6136","GHA",2022,"Ashanti","Atwima Mponua","DTP1","SURVIVING_INFANT",7527,7182
"6137","GHA",2022,"Ashanti","Atwima Nwabiagya","DTP1","SURVIVING_INFANT",7561,7446
"6138","GHA",2022,"Ashanti","Atwima Nwabiagya North","DTP1","SURVIVING_INFANT",6130,7173
"6139","GHA",2022,"Ashanti","Bekwai","DTP1","SURVIVING_INFANT",5533,6494
"6140","GHA",2022,"Ashanti","Bosome Freho","DTP1","SURVIVING_INFANT",4394,3479
"6141","GHA",2022,"Ashanti","Bosomtwe","DTP1","SURVIVING_INFANT",7011,7577
"6142","GHA",2022,"Ashanti","Ejisu","DTP1","SURVIVING_INFANT",8783,8196
"6143","GHA",2022,"Ashanti","Ejura-Sekyedumase","DTP1","SURVIVING_INFANT",10908,6482
"6144","GHA",2022,"Ashanti","Juaben","DTP1","SURVIVING_INFANT",4616,3546
"6145","GHA",2022,"Ashanti","Kumasi","DTP1","SURVIVING_INFANT",38026,18679
"6146","GHA",2022,"Oti","Krachi West","DTP1","SURVIVING_INFANT",3750,3434
"6147","GHA",2022,"Oti","Nkwanta North","DTP1","SURVIVING_INFANT",6184,6021
"6148","GHA",2022,"Oti","Nkwanta South","DTP1","SURVIVING_INFANT",5819,6413
"6149","GHA",2022,"Savannah","Bole","DTP1","SURVIVING_INFANT",5543,5611
"6150","GHA",2022,"Savannah","Central Gonja","DTP1","SURVIVING_INFANT",6932,6685
"6151","GHA",2022,"Savannah","East Gonja","DTP1","SURVIVING_INFANT",5611,5689
"6152","GHA",2022,"Savannah","North Gonja","DTP1","SURVIVING_INFANT",3757,3446
"6153","GHA",2022,"Savannah","North-East Gonja","DTP1","SURVIVING_INFANT",2863,2569
"6154","GHA",2022,"Savannah","Sawla-Tuna-Kalba","DTP1","SURVIVING_INFANT",6961,5486
"6155","GHA",2022,"Savannah","West Gonja","DTP1","SURVIVING_INFANT",3310,3526
"6156","GHA",2022,"Upper East","Bawku Municipal","DTP1","SURVIVING_INFANT",4637,5757
"6157","GHA",2022,"Upper East","Bawku West","DTP1","SURVIVING_INFANT",6010,6741
"6158","GHA",2022,"Upper East","Binduri","DTP1","SURVIVING_INFANT",3607,4053
"6159","GHA",2022,"Upper East","Bolgatanga East","DTP1","SURVIVING_INFANT",2572,2546
"6160","GHA",2022,"Upper East","Bolgatanga Municipal","DTP1","SURVIVING_INFANT",5617,6569
"6161","GHA",2022,"Upper East","Bongo","DTP1","SURVIVING_INFANT",5835,5788
"6162","GHA",2022,"Upper East","Builsa North","DTP1","SURVIVING_INFANT",2357,3253
"6163","GHA",2022,"Upper East","Builsa South","DTP1","SURVIVING_INFANT",2324,2456
"6164","GHA",2022,"Upper East","Garu","DTP1","SURVIVING_INFANT",3621,3858
"6165","GHA",2022,"Upper East","Kasena-Nankana","DTP1","SURVIVING_INFANT",3870,4978
"6166","GHA",2022,"Upper East","Kasena-Nankana West","DTP1","SURVIVING_INFANT",3697,4613
"6167","GHA",2022,"Upper East","Nabdam","DTP1","SURVIVING_INFANT",2363,3065
"6168","GHA",2022,"Ashanti","Adansi North","DTP3","SURVIVING_INFANT",3349,3156
"6169","GHA",2022,"Ashanti","Adansi South","DTP3","SURVIVING_INFANT",5253,4393
"6170","GHA",2022,"Ashanti","Afigya Kwabre North","DTP3","SURVIVING_INFANT",4075,3920
"6171","GHA",2022,"Ashanti","Afigya Kwabre South","DTP3","SURVIVING_INFANT",8659,10344
"6172","GHA",2022,"Ashanti","Ahafo Ano North","DTP3","SURVIVING_INFANT",3949,4693
"6173","GHA",2022,"Ashanti","Ahafo Ano South East","DTP3","SURVIVING_INFANT",3979,3527
"6174","GHA",2022,"Ashanti","Ahafo Ano South West","DTP3","SURVIVING_INFANT",4174,3619
"6175","GHA",2022,"Ashanti","Amansie Central","DTP3","SURVIVING_INFANT",4898,4705
"6176","GHA",2022,"Ashanti","Amansie South","DTP3","SURVIVING_INFANT",5475,5634
"6177","GHA",2022,"Ashanti","Amansie West","DTP3","SURVIVING_INFANT",6120,5357
"6178","GHA",2022,"Ashanti","Asante Akim Central","DTP3","SURVIVING_INFANT",5553,4650
"6179","GHA",2022,"Ashanti","Asante Akim North","DTP3","SURVIVING_INFANT",5126,4416
"6180","GHA",2022,"Ashanti","Asante Akim South","DTP3","SURVIVING_INFANT",6641,5923
"6181","GHA",2022,"Ashanti","Asante Mampong","DTP3","SURVIVING_INFANT",4769,5618
"6182","GHA",2022,"Ashanti","Asokore Mampong","DTP3","SURVIVING_INFANT",8582,8621
"6183","GHA",2022,"Ashanti","Asokwa","DTP3","SURVIVING_INFANT",5251,6003
"6184","GHA",2022,"Ashanti","Atwima Kwanwoma","DTP3","SURVIVING_INFANT",8689,10351
"6185","GHA",2022,"Ashanti","Atwima Mponua","DTP3","SURVIVING_INFANT",8254,7182
"6186","GHA",2022,"Ashanti","Atwima Nwabiagya","DTP3","SURVIVING_INFANT",7476,7446
"6187","GHA",2022,"Ashanti","Atwima Nwabiagya North","DTP3","SURVIVING_INFANT",6648,7173
"6188","GHA",2022,"Ashanti","Bekwai","DTP3","SURVIVING_INFANT",5334,6494
"6189","GHA",2022,"Ashanti","Bosome Freho","DTP3","SURVIVING_INFANT",4576,3479
"6190","GHA",2022,"Oti","Jasikan","DTP3","SURVIVING_INFANT",3546,3377
"6191","GHA",2022,"Oti","Kadjebi","DTP3","SURVIVING_INFANT",3772,3945
"6192","GHA",2022,"Oti","Krachi East","DTP3","SURVIVING_INFANT",7279,5397
"6193","GHA",2022,"Oti","Krachi Nchumuru","DTP3","SURVIVING_INFANT",4645,4183
"6194","GHA",2022,"Oti","Krachi West","DTP3","SURVIVING_INFANT",3722,3434
"6195","GHA",2022,"Oti","Nkwanta North","DTP3","SURVIVING_INFANT",5854,6021
"6196","GHA",2022,"Oti","Nkwanta South","DTP3","SURVIVING_INFANT",5625,6413
"6197","GHA",2022,"Savannah","Bole","DTP3","SURVIVING_INFANT",5274,5611
"6198","GHA",2022,"Savannah","Central Gonja","DTP3","SURVIVING_INFANT",6789,6685
"6199","GHA",2022,"Savannah","East Gonja","DTP3","SURVIVING_INFANT",5720,5689
"6200","GHA",2022,"Savannah","North Gonja","DTP3","SURVIVING_INFANT",3686,3446
"6201","GHA",2022,"Savannah","North-East Gonja","DTP3","SURVIVING_INFANT",2824,2569
"6202","GHA",2022,"Savannah","Sawla-Tuna-Kalba","DTP3","SURVIVING_INFANT",6918,5486
"6203","GHA",2022,"Savannah","West Gonja","DTP3","SURVIVING_INFANT",3301,3526
"6204","GHA",2022,"Upper East","Bawku Municipal","DTP3","SURVIVING_INFANT",4524,5757
"6205","GHA",2022,"Upper East","Bawku West","DTP3","SURVIVING_INFANT",6003,6741
"6206","GHA",2022,"Upper East","Binduri","DTP3","SURVIVING_INFANT",3495,4053
"6207","GHA",2022,"Upper East","Bolgatanga East","DTP3","SURVIVING_INFANT",2671,2546
"6208","GHA",2022,"Upper East","Bolgatanga Municipal","DTP3","SURVIVING_INFANT",5755,6569
"6209","GHA",2022,"Upper East","Bongo","DTP3","SURVIVING_INFANT",5965,5788
"6210","GHA",2022,"Upper East","Builsa North","DTP3","SURVIVING_INFANT",2452,3253
"6211","GHA",2022,"Upper East","Builsa South","DTP3","SURVIVING_INFANT",2453,2456
"6212","GHA",2022,"Ahafo","Asunafo North","MCV1","SURVIVING_INFANT",6035,6981
"6213","GHA",2022,"Ahafo","Asunafo South","MCV1","SURVIVING_INFANT",5623,4651
"6214","GHA",2022,"Ahafo","Asutifi North","MCV1","SURVIVING_INFANT",3993,3929
"6215","GHA",2022,"Ahafo","Asutifi South","MCV1","SURVIVING_INFANT",3559,3723
"6216","GHA",2022,"Ahafo","Tano North","MCV1","SURVIVING_INFANT",5458,4727
"6217","GHA",2022,"Ahafo","Tano South","MCV1","SURVIVING_INFANT",4322,4473
"6218","GHA",2022,"Ashanti","Adansi Akrofuom","MCV1","SURVIVING_INFANT",2117,2963
"6219","GHA",2022,"Ashanti","Adansi Asokwa","MCV1","SURVIVING_INFANT",4594,3861
"6220","GHA",2022,"North East","East Mamprusi","MCV1","SURVIVING_INFANT",9573,8486
"6221","GHA",2022,"North East","Mamprugu-Moagduri","MCV1","SURVIVING_INFANT",3412,3737
"6222","GHA",2022,"North East","West Mamprusi","MCV1","SURVIVING_INFANT",7992,7998
