"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90","AllAges"
"21","Kachin","Bhamo","AREA # 010353","Dotphoneyan(ST)","MMR001012","Momauk","Dotphoneyan(ST)",3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2,1,1,2,2,0,0,0,0,0,1,2,35
"22","Kachin","Bhamo","AREA # 010303","Momauk","MMR001012","Momauk","Momauk",4,0,0,1,1,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,1,0,1,1,1,0,2,1,0,1,0,0,0,0,0,1,0,0,3,1,0,0,2,0,2,0,2,2,0,1,1,3,2,2,0,2,1,4,3,3,3,1,2,4,3,2,4,1,5,4,7,4,4,5,2,6,4,6,6,2,2,3,0,15,154
"23","Kachin","Bhamo","AREA # 010304","Mansi","MMR001013","Mansi","Mansi",6,3,2,1,4,2,1,1,2,0,2,0,1,2,0,0,0,2,2,0,1,1,0,0,1,1,2,2,1,0,0,1,1,0,0,1,0,1,0,1,2,1,0,0,1,0,0,2,0,0,1,0,3,1,1,3,2,1,1,1,2,1,3,4,1,1,0,1,0,1,5,1,2,3,2,6,3,0,1,0,7,1,1,1,2,3,0,0,2,0,10,129
"24","Kachin","Putao","AREA # 010401","Putao","MMR001014","Puta-O","Putao",5,1,2,2,5,1,2,1,2,3,0,1,1,1,1,1,2,2,1,0,1,2,0,0,1,4,3,2,2,1,3,0,0,2,0,4,2,1,0,0,4,3,1,0,2,2,3,1,0,0,2,1,0,3,0,2,1,2,1,0,5,2,1,2,0,0,3,2,4,3,12,2,4,7,3,5,1,2,4,2,10,3,4,1,4,3,2,1,3,1,17,203
"25","Kachin","Putao","AREA # 010402","Sumprabum","MMR001015","Sumprabum","Sumprabum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,3,19
"26","Kachin","Putao","AREA # 010403","Machanbaw","MMR001016","Machanbaw","Machanbaw",1,0,1,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,1,0,0,1,1,1,0,1,6,1,0,0,1,2,1,0,1,0,4,0,0,1,0,0,1,0,0,0,2,50
"27","Kachin","Putao","AREA # 010451","Pannandin(ST)","MMR001017","Nawngmun","Pannandin(ST)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,4,0,1,1,0,0,1,0,0,0,0,0,1,16
"28","Kachin","Putao","AREA # 010405","Naungmoon","MMR001017","Nawngmun","Naungmoon",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,4,13
"29","Kachin","Putao","AREA # 010404","Khaunglanphoo","MMR001018","Khaunglanhpu","Khaunglanphoo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,1,0,0,3,0,1,0,0,0,0,0,0,2,1,1,2,0,0,0,1,1,2,0,4,28
"30","Kayah","Loikaw","AREA # 020101","Loikaw","MMR002001","Loikaw","Loikaw",4,0,3,7,1,3,2,4,0,1,2,1,2,4,2,1,2,0,1,1,3,2,2,1,1,3,0,2,6,1,1,1,6,3,2,5,4,1,1,2,3,3,2,8,2,3,5,3,7,1,7,1,1,4,4,6,4,2,5,1,7,6,6,3,10,16,8,7,9,7,6,6,5,6,13,12,4,5,4,7,23,4,11,5,6,12,9,5,5,2,26,415
"31","Kayah","Loikaw","AREA # 020102","Dimawso","MMR002002","Demoso","Dimawso",26,9,5,0,1,2,5,1,3,1,4,3,0,1,0,0,0,1,2,1,2,0,1,2,2,0,1,3,1,2,1,2,5,2,0,2,0,1,4,0,2,2,1,2,0,3,2,2,4,3,4,2,4,2,3,5,5,2,3,3,5,1,4,1,4,4,3,4,4,1,8,9,2,5,5,7,1,1,5,3,13,5,5,4,6,7,4,2,3,2,12,290
"32","Kayah","Loikaw","AREA # 020103","Phruso","MMR002003","Hpruso","Phruso",0,1,0,0,1,1,1,1,0,1,3,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,2,5,1,1,1,0,0,0,0,0,1,4,0,2,1,1,3,0,2,0,2,6,0,2,0,1,3,3,0,0,1,6,2,0,0,0,10,2,0,3,1,3,1,2,0,2,5,1,0,0,0,5,104
"33","Kayah","Loikaw","AREA # 020104","Shardaw","MMR002004","Shadaw","Shardaw",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,23
"34","Kayah","Bawlakhe","AREA # 020201","Bawlakhe","MMR002005","Bawlake","Bawlakhe",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,15
"35","Kayah","Bawlakhe","AREA # 020251","Ywathit(ST)","MMR002005","Bawlake","Ywathit(ST)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,8
"36","Kayah","Bawlakhe","AREA # 020202","Parsaung","MMR002006","Hpasawng","Parsaung",1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,2,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,27
"37","Kayah","Bawlakhe","AREA # 020203","Meisi","MMR002007","Mese","Meisi",0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"38","Kayin","Hpa-an","AREA # 030101","Hpa-an","MMR003001","Hpa-An","Hpa-an",100,34,24,10,14,14,6,9,13,7,14,11,10,10,9,6,7,5,6,8,8,3,5,7,5,4,3,6,3,1,13,2,6,4,5,7,2,4,6,8,5,6,5,9,10,12,6,6,8,7,16,8,10,11,15,15,14,11,8,15,25,15,13,13,13,35,20,25,16,13,56,17,22,19,17,39,17,17,27,9,73,18,28,29,21,36,16,23,16,11,89,1404
"39","Kayin","Hpa-an","AREA # 030151","Paingkyon(ST)","MMR003002","Hlaingbwe","Paingkyon(ST)",31,3,6,2,4,3,2,2,2,3,2,0,4,3,0,2,5,6,4,0,2,0,2,0,3,1,3,1,4,1,5,0,1,2,0,1,1,1,0,3,8,1,1,4,0,2,2,4,2,0,3,2,1,3,2,5,3,7,0,2,9,2,6,4,8,19,5,7,8,4,30,3,8,6,7,19,10,3,11,2,42,5,7,8,10,15,4,8,7,4,49,497
"40","Kayin","Hpa-an","AREA # 030152","Shan Ywathit(ST)","MMR003002","Hlaingbwe","Shan Ywathit(ST)",0,3,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,2,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,2,1,0,0,0,3,36
"41","Kayin","Hpa-an","AREA # 030102","Hlaingbwe","MMR003002","Hlaingbwe","Hlaingbwe",56,14,3,2,4,4,4,4,1,3,5,2,2,5,2,2,2,1,0,2,4,2,1,5,3,1,0,0,1,2,1,1,1,4,2,3,3,1,0,1,4,0,4,2,1,2,2,1,4,5,0,4,6,1,3,4,3,3,3,1,4,5,5,4,4,10,10,8,10,6,24,5,8,4,4,29,7,4,14,3,28,7,9,5,11,16,8,7,6,2,47,521
"42","Kayin","Pharpon","AREA # 030201","Pharpon","MMR003003","Hpapun","Pharpon",2,1,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,1,1,1,0,0,3,0,2,0,1,1,0,0,1,0,0,0,3,1,0,3,2,0,3,0,1,1,2,1,0,2,50
"43","Kayin","Pharpon","AREA # 030251","Kamamaung(ST}","MMR003003","Hpapun","Kamamaung(ST}",11,5,2,0,1,0,1,1,2,0,1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,3,0,0,0,1,1,1,0,2,1,3,2,2,1,3,2,2,1,0,0,0,0,0,1,1,4,1,0,2,0,1,0,1,2,1,4,2,1,1,1,4,92
"44","Kayin","Hpa-an","AREA # 030154","Bawgali(ST)","MMR003004","Thandaunggyi","Bawgali(ST)",9,9,5,7,2,1,2,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,2,3,1,3,2,0,3,0,0,2,0,1,2,4,1,0,1,0,1,0,0,1,3,2,0,2,1,1,1,3,1,1,3,1,0,1,2,1,3,100
"45","Kayin","Hpa-an","AREA # 030153","Leiktho(ST)","MMR003004","Thandaunggyi","Leiktho(ST)",5,4,2,1,2,5,2,2,1,3,2,3,2,3,3,4,3,2,2,2,1,0,1,3,1,1,0,1,1,0,2,0,2,0,0,1,4,2,2,3,2,0,2,2,2,2,2,0,5,1,1,3,0,0,1,4,3,0,2,2,4,5,2,5,2,4,2,4,2,3,14,5,4,7,6,9,7,3,5,2,10,0,1,7,3,2,1,2,2,0,6,241
"46","Kayin","Hpa-an","AREA # 030103","Thandaunggyi","MMR003004","Thandaunggyi","Thandaunggyi",5,3,0,1,2,1,0,3,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,2,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,2,4,3,1,0,0,2,2,1,1,4,1,2,0,1,4,1,2,1,0,2,0,1,3,1,3,3,7,1,1,3,0,2,1,0,3,0,1,3,0,6,106
"47","Kayin","Myawady","AREA # 030301","Myawady","MMR003005","Myawaddy","Myawady",7,9,5,2,4,3,1,2,6,5,2,1,1,3,2,4,2,2,3,0,3,1,0,3,2,3,2,2,5,2,0,2,2,4,3,3,1,1,0,3,4,0,0,3,5,4,2,1,0,1,3,2,4,5,2,6,4,4,5,2,5,6,6,2,7,9,2,8,4,1,8,0,0,5,4,7,3,3,2,1,11,1,2,6,0,5,2,1,1,4,13,292
"48","Kayin","Myawady","AREA # 030352","Wawlaymyaing(ST)","MMR003005","Myawaddy","Wawlaymyaing(ST)",0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15
"49","Kayin","Myawady","AREA # 030351","Sugali(ST)","MMR003005","Myawaddy","Sugali(ST)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
"50","Kayin","Kawkareik","AREA # 030401","Kawkareik","MMR003006","Kawkareik","Kawkareik",102,26,16,9,4,8,8,11,4,5,3,5,4,4,5,2,1,3,7,3,5,3,9,3,3,6,3,2,5,3,3,2,5,3,6,9,3,4,3,1,5,3,4,6,3,6,4,5,8,1,11,6,7,8,5,18,14,11,7,4,19,6,8,16,17,17,16,13,13,8,38,11,15,18,13,38,20,14,29,9,37,10,13,14,25,27,14,16,8,18,67,1034
"51","Kayin","Kawkareik","AREA # 030402","Kyarinseikkyi","MMR003007","Kyainseikgyi","Kyarinseikkyi",33,12,13,4,8,3,1,4,3,3,3,1,5,0,1,3,1,1,3,4,3,2,2,4,2,7,3,1,1,0,3,2,4,2,2,3,3,1,0,1,0,2,0,4,1,3,2,0,2,1,2,4,4,1,1,5,5,4,4,5,1,3,3,4,2,9,4,7,4,5,7,3,4,3,5,14,2,12,8,2,14,7,5,5,12,13,9,5,4,4,29,411
"52","Kayin","Kawkareik","AREA # 030451","Payarthonezu(ST)","MMR003007","Kyainseikgyi","Payarthonezu(ST)",24,7,1,3,3,3,2,1,4,2,4,2,0,2,2,0,4,0,2,3,1,1,5,0,0,0,3,1,1,0,1,1,1,4,0,1,0,0,1,2,1,0,1,1,2,1,0,0,1,0,5,2,1,3,2,1,5,4,3,1,1,1,2,6,3,2,1,8,1,1,8,3,3,3,3,7,2,2,2,1,11,3,1,6,3,5,2,3,0,4,12,236
"53","Kayin","Kawkareik","AREA # 030452","Kyaidon(ST)","MMR003007","Kyainseikgyi","Kyaidon(ST)",58,13,3,4,3,3,0,2,0,0,1,2,1,3,0,2,1,3,2,3,4,1,1,0,0,3,0,2,0,0,0,1,0,1,0,0,0,0,2,1,3,0,0,0,0,2,1,2,2,0,3,0,1,1,3,1,2,1,1,4,3,3,6,3,2,7,2,5,1,2,15,1,2,2,0,10,1,1,6,1,5,0,2,3,0,5,1,1,3,1,10,251
"54","Chin","Falam","AREA # 040251","Rihkhuadal(ST)","MMR004001","Falam","Rihkhuadal(ST)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,20
"55","Chin","Falam","AREA # 040201","Falam","MMR004001","Falam","Falam",0,0,0,2,0,0,2,3,1,2,0,1,1,0,0,1,1,1,0,2,2,2,2,2,0,3,3,0,1,3,0,3,2,1,2,0,0,2,1,2,3,1,3,3,2,2,6,5,2,2,2,2,5,9,11,7,5,9,8,6,6,5,4,10,4,10,6,7,5,3,15,8,2,15,11,7,8,5,16,8,14,4,5,4,11,6,6,5,4,4,18,377
