"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90","AllAges"
"21","Kachin","Bhamo","AREA # 010353","Dotphoneyan(ST)","MMR001012","Momauk","Dotphoneyan(ST)",3,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,3,1,2,2,0,0,0,0,0,0,2,36
"22","Kachin","Bhamo","AREA # 010303","Momauk","MMR001012","Momauk","Momauk",4,0,0,1,1,2,1,3,0,2,3,0,2,1,1,2,1,0,1,1,0,0,0,0,1,2,1,1,0,0,0,1,2,2,0,0,1,0,1,1,2,1,1,1,0,3,1,0,3,0,0,0,0,1,1,1,2,2,1,3,2,0,1,1,1,3,2,1,0,2,5,2,2,1,1,4,3,5,3,6,4,2,5,3,3,4,2,2,2,0,9,143
"23","Kachin","Bhamo","AREA # 010304","Mansi","MMR001013","Mansi","Mansi",5,1,2,0,3,1,2,4,3,2,2,0,1,0,1,1,0,1,2,1,1,0,2,0,1,3,1,1,1,2,1,0,0,0,1,1,0,0,1,0,1,2,0,0,0,0,0,1,1,1,2,0,1,0,2,4,2,3,0,1,2,1,1,2,0,1,1,0,1,2,11,1,1,3,2,7,6,0,2,0,7,1,1,1,3,3,0,0,2,0,8,139
"24","Kachin","Putao","AREA # 010401","Putao","MMR001014","Puta-O","Putao",3,0,2,2,3,2,0,1,5,4,0,2,2,2,3,0,2,1,3,0,4,1,0,1,0,4,6,2,1,1,5,2,2,5,1,7,1,2,0,1,6,1,1,3,3,3,3,1,1,2,6,2,1,1,1,4,1,2,0,0,5,0,0,0,2,3,2,2,3,4,11,1,6,10,1,4,1,2,4,1,12,2,2,4,5,3,2,0,0,1,19,237
"25","Kachin","Putao","AREA # 010402","Sumprabum","MMR001015","Sumprabum","Sumprabum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,6,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,2,36
"26","Kachin","Putao","AREA # 010403","Machanbaw","MMR001016","Machanbaw","Machanbaw",1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,1,1,4,0,0,0,0,3,0,1,2,0,3,2,4,0,0,4,0,1,1,1,3,0,2,1,0,10,0,0,1,1,3,0,0,0,0,4,0,1,1,0,0,1,0,0,0,3,77
"27","Kachin","Putao","AREA # 010451","Pannandin(ST)","MMR001017","Nawngmun","Pannandin(ST)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,3,0,2,1,0,0,2,0,0,0,0,0,1,16
"28","Kachin","Putao","AREA # 010405","Naungmoon","MMR001017","Nawngmun","Naungmoon",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,2,13
"29","Kachin","Putao","AREA # 010404","Khaunglanphoo","MMR001018","Khaunglanhpu","Khaunglanphoo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,3,0,2,0,0,1,1,2,0,1,3,0,2,0,1,1,3,0,4,28
"30","Kayah","Loikaw","AREA # 020101","Loikaw","MMR002001","Loikaw","Loikaw",1,0,3,5,1,3,1,3,3,3,4,4,3,7,2,2,2,2,2,1,1,3,2,2,3,1,1,7,2,3,4,2,5,4,1,2,2,1,5,1,3,1,4,3,3,6,1,3,5,1,9,1,1,7,1,5,0,3,4,0,4,2,5,3,4,14,6,5,2,7,7,3,7,8,6,13,7,6,8,6,20,7,9,6,3,10,5,3,1,1,18,371
