"","AreaCode","SR","District","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","CatNum","Severity","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1149","AREA # 140103","Ayeyawady","Pathein","Kyonpyaw","MMR017005","Kyonpyaw","Kyonpyaw","3","Yes - a lot of difficulty",NA,2,NA,2,2,1,NA,2,3,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,2
"1150","AREA # 140103","Ayeyawady","Pathein","Kyonpyaw","MMR017005","Kyonpyaw","Kyonpyaw","4","Yes - cannot see at all",NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1151","AREA # 140104","Ayeyawady","Pathein","Ngaputaw","MMR017004","Ngapudaw","Ngaputaw","3","Yes - a lot of difficulty",NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1152","AREA # 140104","Ayeyawady","Pathein","Ngaputaw","MMR017004","Ngapudaw","Ngaputaw","4","Yes - cannot see at all",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1153","AREA # 140104","Ayeyawady","Pathein","Ngaputaw","MMR017004","Ngapudaw","Ngaputaw","1","No - no difficulty",526,1423,1680,1674,1637,1682,1472,1394,1148,928,653,420,357,259,150,126,61,47,32,18,13,12,9,11,10,9,9,7,6,4,4,NA,1,3,5,7,2,2,NA,1,3,3,1,1,1,NA,3,3,2,4,4,1,NA,1,1,2,1,3,5,1,NA,1,2,2,1,1,NA,3,1,NA,3,1,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"1154","AREA # 140104","Ayeyawady","Pathein","Ngaputaw","MMR017004","Ngapudaw","Ngaputaw","2","Yes - some difficulty",1,1,4,4,4,4,3,4,3,4,5,4,4,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1155","AREA # 140105","Ayeyawady","Pathein","Pathein","MMR017001","Pathein","Pathein","2","Yes - some difficulty",NA,5,3,1,1,5,5,8,7,5,10,9,7,7,4,NA,3,1,1,1,NA,NA,1,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,2,NA,1,2,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,2,NA,2,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1
"1156","AREA # 140105","Ayeyawady","Pathein","Pathein","MMR017001","Pathein","Pathein","3","Yes - a lot of difficulty",NA,NA,2,NA,1,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"1157","AREA # 140105","Ayeyawady","Pathein","Pathein","MMR017001","Pathein","Pathein","4","Yes - cannot see at all",NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1158","AREA # 140105","Ayeyawady","Pathein","Pathein","MMR017001","Pathein","Pathein","1","No - no difficulty",616,1627,1918,1817,1934,1787,1693,1743,1661,1471,1129,930,780,654,544,377,260,140,68,44,27,31,24,23,11,22,12,13,10,11,14,7,4,8,7,11,4,13,12,2,9,6,6,10,3,9,5,4,7,5,9,4,2,3,3,4,4,3,4,6,5,4,3,2,2,1,1,3,1,NA,3,3,1,NA,1,1,NA,1,NA,NA,1,1,NA,1,NA,3
