"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU","Ts","y6","y7","y8","y9","y10","PriAges"
"78","Sagaing","Shwebo","AREA # 050208","Tasei","MMR005011","Taze","Tasei",2,2,1,4,6,15
"79","Sagaing","Monywa","AREA # 050301","Monywa","MMR005012","Monywa","Monywa",5,5,3,6,3,22
"80","Sagaing","Monywa","AREA # 050302","Butalin","MMR005013","Budalin","Butalin",3,4,2,1,0,10
"81","Sagaing","Monywa","AREA # 050303","Ayartaw","MMR005014","Ayadaw","Ayartaw",3,1,0,4,3,11
"82","Sagaing","Monywa","AREA # 050304","Chaung Oo","MMR005015","Chaung-U","Chaung Oo",1,2,0,1,2,6
"83","Sagaing","Yinmarpin","AREA # 050901","Yinmarpin","MMR005016","Yinmarbin","Yinmarpin",4,3,3,1,4,15
"84","Sagaing","Yinmarpin","AREA # 050904","Kani","MMR005017","Kani","Kani",3,0,4,6,2,15
"85","Sagaing","Yinmarpin","AREA # 050902","Salingyi","MMR005018","Salingyi","Salingyi",4,3,0,3,1,11
"86","Sagaing","Yinmarpin","AREA # 050903","Palae","MMR005019","Pale","Palae",1,4,4,2,2,13
"87","Sagaing","Katha","AREA # 050401","Katha","MMR005020","Katha","Katha",1,5,2,3,1,12
"88","Sagaing","Katha","AREA # 050402","Indaw","MMR005021","Indaw","Indaw",1,0,1,2,0,4
"89","Sagaing","Katha","AREA # 050403","Tigyaing","MMR005022","Tigyaing","Tigyaing",4,2,1,1,1,9
"90","Sagaing","Katha","AREA # 050404","Banmauk","MMR005023","Banmauk","Banmauk",1,2,0,5,2,10
"91","Sagaing","Katha","AREA # 050405","Kawlin","MMR005024","Kawlin","Kawlin",1,2,0,2,1,6
"92","Sagaing","Katha","AREA # 050406","Wuntho","MMR005025","Wuntho","Wuntho",1,0,2,1,0,4
"93","Sagaing","Katha","AREA # 050407","Pinlebu","MMR005026","Pinlebu","Pinlebu",6,3,2,1,1,13
"94","Sagaing","Kalay","AREA # 050501","Kalay","MMR005027","Kale","Kalay",6,2,4,4,3,19
"95","Sagaing","Kalay","AREA # 050502","Kalewa","MMR005028","Kalewa","Kalewa",0,0,2,1,1,4
"96","Sagaing","Kalay","AREA # 050503","Mingin","MMR005029","Mingin","Mingin",3,1,1,0,1,6
"97","Sagaing","Tamu","AREA # 050601","Tamu","MMR005030","Tamu","Tamu",0,1,1,2,0,4
"98","Sagaing","Tamu","AREA # 050651","Myothit(ST)","MMR005030","Tamu","Myothit(ST)",1,0,0,2,1,4
"99","Sagaing","Tamu","AREA # 050652","Khampat(ST)","MMR005030","Tamu","Khampat(ST)",0,1,1,1,0,3
"100","Sagaing","Mawlaik","AREA # 050701","Mawlaik","MMR005031","Mawlaik","Mawlaik",1,2,2,1,2,8
"101","Sagaing","Mawlaik","AREA # 050702","Phaungpyin","MMR005032","Paungbyin","Phaungpyin",0,1,0,1,1,3
"102","Sagaing","Hkamti","AREA # 050801","Hkamti","MMR005033","Hkamti","Hkamti",1,1,1,0,0,3
"103","Sagaing","Hkamti","AREA # 050802","Homalin","MMR005034","Homalin","Homalin",1,2,3,5,2,13
"104","Sagaing","Hkamti","AREA # 050803","Leshi","MMR005035","Lay Shi","Leshi",0,0,1,0,1,2
"105","Sagaing","Hkamti","AREA # 050851","Mobaingluk(ST)","MMR005035","Lay Shi","Mobaingluk(ST)",0,0,0,0,0,0
"106","Sagaing","Hkamti","AREA # 050852","Sonemara(ST)","MMR005035","Lay Shi","Sonemara(ST)",0,0,0,0,0,0
"107","Sagaing","Hkamti","AREA # 050804","Lahe","MMR005036","Lahe","Lahe",1,1,1,1,2,6
"108","Sagaing","Hkamti","AREA # 050853","Htanparkway(ST)","MMR005036","Lahe","Htanparkway(ST)",0,0,0,0,0,0
"109","Sagaing","Hkamti","AREA # 050805","Nanyun","MMR005037","Nanyun","Nanyun",0,0,0,0,0,0
"110","Sagaing","Hkamti","AREA # 050854","Pansaung(ST)","MMR005037","Nanyun","Pansaung(ST)",0,0,0,1,0,1
"111","Sagaing","Hkamti","AREA # 050855","Donhee(ST)","MMR005037","Nanyun","Donhee(ST)",0,1,1,0,0,2
"112","Tanintharyi","Dawei","AREA # 060151","Myitta(ST)","MMR006001","Dawei","Myitta(ST)",1,1,2,0,0,4
"113","Tanintharyi","Dawei","AREA # 060101","Dawei","MMR006001","Dawei","Dawei",2,3,1,3,2,11
"114","Tanintharyi","Dawei","AREA # 060102","Lounglon","MMR006002","Launglon","Lounglon",1,2,3,2,4,12
"115","Tanintharyi","Dawei","AREA # 060103","Thayetchaung","MMR006003","Thayetchaung","Thayetchaung",4,3,5,3,3,18
"116","Tanintharyi","Dawei","AREA # 060104","Yebyu","MMR006004","Yebyu","Yebyu",3,2,3,1,4,13
"117","Tanintharyi","Dawei","AREA # 060152","Kaleinaung(ST)","MMR006004","Yebyu","Kaleinaung(ST)",1,0,0,0,0,1
"118","Tanintharyi","Myeik","AREA # 060201","Myeik","MMR006005","Myeik","Myeik",2,4,5,6,6,23
"119","Tanintharyi","Myeik","AREA # 060202","Kyunsu","MMR006006","Kyunsu","Kyunsu",2,5,4,2,4,17
"120","Tanintharyi","Myeik","AREA # 060251","Palauk(ST)","MMR006007","Palaw","Palauk(ST)",3,0,2,2,0,7
"121","Tanintharyi","Myeik","AREA # 060203","Palaw","MMR006007","Palaw","Palaw",2,0,1,2,3,8
"122","Tanintharyi","Myeik","AREA # 060204","Tanintharyi","MMR006008","Tanintharyi","Tanintharyi",4,3,3,2,3,15
"123","Tanintharyi","Kawthoung","AREA # 060301","Kawthoung","MMR006009","Kawthoung","Kawthoung",1,0,2,0,4,7
"124","Tanintharyi","Kawthoung","AREA # 060351","Khamaukgyi","MMR006009","Kawthoung","Khamaukgyi",1,2,1,0,0,4
"125","Tanintharyi","Kawthoung","AREA # 060302","Bokepyin","MMR006010","Bokpyin","Bokepyin",2,3,1,3,1,10
"126","Tanintharyi","Kawthoung","AREA # 060353","Karathuri(ST)","MMR006010","Bokpyin","Karathuri(ST)",0,1,0,2,0,3
"127","Tanintharyi","Kawthoung","AREA # 060352","Pyigyimandaing","MMR006010","Bokpyin","Pyigyimandaing",1,0,1,1,1,4
"128","Bago","Bago","AREA # 070101","Bago","MMR007001","Bago","Bago",13,11,6,4,12,46
"129","Bago","Bago","AREA # 070102","Tanatpin","MMR007002","Thanatpin","Tanatpin",2,5,1,0,1,9
"130","Bago","Bago","AREA # 070103","Kawa","MMR007003","Kawa","Kawa",5,4,3,4,5,21
"131","Bago","Bago","AREA # 070104","Waw","MMR007004","Waw","Waw",3,4,2,5,5,19
"132","Bago","Bago","AREA # 070105","Nyaunglebin","MMR007005","Nyaunglebin","Nyaunglebin",5,9,11,5,7,37
"133","Bago","Bago","AREA # 070106","Kyauktaga","MMR007006","Kyauktaga","Kyauktaga",7,4,4,2,4,21
"134","Bago","Bago","AREA # 070107","Daik U","MMR007007","Daik-U","Daik U",6,3,1,6,7,23
"135","Bago","Bago","AREA # 070108","Shwegyin","MMR007008","Shwegyin","Shwegyin",3,4,2,0,3,12
"136","Bago","Toungoo","AREA # 070201","Toungoo","MMR007009","Taungoo","Toungoo",2,7,6,6,5,26
"137","Bago","Toungoo","AREA # 070202","Yaedashe","MMR007010","Yedashe","Yaedashe",2,8,7,6,5,28
"138","Bago","Toungoo","AREA # 070203","Kyaukkyi","MMR007011","Kyaukkyi","Kyaukkyi",10,3,5,1,1,20
"139","Bago","Toungoo","AREA # 070204","Pyu","MMR007012","Phyu","Pyu",8,4,7,5,7,31
"140","Bago","Toungoo","AREA # 070205","Oatwin","MMR007013","Oktwin","Oatwin",5,3,3,0,4,15
"141","Bago","Toungoo","AREA # 070206","Htantapin","MMR007014","Htantabin","Htantapin",4,3,3,3,1,14
"142","Bago","Pyay","AREA # 070301","Pyay","MMR008001","Pyay","Pyay",3,3,2,5,4,17
"143","Bago","Pyay","AREA # 070302","Paukkhaung","MMR008002","Paukkhaung","Paukkhaung",3,2,3,3,2,13
"144","Bago","Pyay","AREA # 070303","Padaung","MMR008003","Padaung","Padaung",0,3,2,2,1,8
"145","Bago","Pyay","AREA # 070304","Paunde","MMR008004","Paungde","Paunde",1,3,1,4,1,10
"146","Bago","Pyay","AREA # 070305","Thegon","MMR008005","Thegon","Thegon",2,2,1,0,0,5
"147","Bago","Pyay","AREA # 070306","Shwedaung","MMR008006","Shwedaung","Shwedaung",3,0,1,2,0,6
"148","Bago","Tharyarwaddy","AREA # 070401","Tharyarwaddy","MMR008007","Thayarwady","Tharyarwaddy",6,1,3,3,4,17
"149","Bago","Tharyarwaddy","AREA # 070402","Letpadan","MMR008008","Letpadan","Letpadan",7,3,4,6,6,26
"150","Bago","Tharyarwaddy","AREA # 070403","Minhla","MMR008009","Minhla","Minhla",0,0,5,2,1,8
"151","Bago","Tharyarwaddy","AREA # 070404","Okpo","MMR008010","Okpho","Okpo",3,2,3,4,3,15
"152","Bago","Tharyarwaddy","AREA # 070405","Zigon","MMR008011","Zigon","Zigon",2,1,0,0,2,5
