"","Ts","AreaCode","CatNum","Severity","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"1084","Hopan","AREA # 130901","1","No - no difficulty","110","259","298","347","345","389","272","362","329","209","178","132","89","72","43","23","15","9","4","3","8","1","7","9","2","2","2","1","-","1","1","-","1","1","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-"
"1085","Hopan","AREA # 130901","2","Yes - some difficulty","-","-","-","-","-","-","1","-","1","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1086","Hopan","AREA # 130901","4","Yes - cannot see at all","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-"
"1087","Minemaw","AREA # 130902","1","No - no difficulty","186","264","342","423","345","541","236","368","348","241","364","157","113","143","57","79","13","12","9","3","21","4","2","3","5","5","-","2","1","3","5","-","-","-","-","4","1","-","2","-","-","-","-","-","-","5","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","1","-","-"
"1088","Minemaw","AREA # 130902","2","Yes - some difficulty","1","2","-","2","4","4","4","6","2","3","-","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1089","Panwine","AREA # 130903","1","No - no difficulty","230","346","359","557","402","712","325","565","458","362","481","279","187","260","109","157","41","44","36","14","48","13","9","17","4","17","2","2","2","2","5","1","3","1","-","1","-","1","2","-","4","1","1","-","-","4","2","-","-","-","3","-","-","-","-","6","-","-","2","1","2","-","-","-","-","4","1","-","-","-","1","-","-","-","-","1","-","2","-","-","-","-","-","-","-","1"
"1090","Panwine","AREA # 130903","2","Yes - some difficulty","-","1","3","1","1","2","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-"
"1091","Panlon(ST)","AREA # 130952","1","No - no difficulty","8","33","45","44","53","44","47","62","47","32","18","14","5","7","2","2","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1092","Makman","AREA # 131001","1","No - no difficulty","44","70","96","89","67","111","44","77","55","48","23","15","13","6","8","7","4","1","3","2","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1093","Makman","AREA # 131001","2","Yes - some difficulty","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
