"","Ts","AreaCode","CatNum","Severity","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","AtAb90"
"206","Kyunhlau","AREA # 050205","1","No - no difficulty","379","825","979","933","950","899","940","834","767","610","411","313","252","161","93","71","38","30","21","10","8","7","3","7","4","5","6","3","3","3","4","4","-","2","1","1","2","1","3","3","2","2","-","1","-","-","-","2","-","1","1","2","-","2","-","2","1","-","-","-","2","1","-","1","-","-","1","-","-","1","-","-","-","2","-","-","-","-","-","-","1","-","-","1","-","1"
"207","Kyunhlau","AREA # 050205","2","Yes - some difficulty","-","-","1","2","-","-","-","-","-","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"208","Kyunhlau","AREA # 050205","3","Yes - a lot of difficulty","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"209","Kyunhlau","AREA # 050205","4","Yes - cannot see at all","-","-","-","-","-","-","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"210","Ye U","AREA # 050206","1","No - no difficulty","380","897","1033","973","972","995","864","1050","928","608","390","346","282","189","138","89","48","33","18","16","18","4","7","9","1","6","4","5","8","-","7","4","4","7","5","5","2","4","3","3","3","1","-","-","4","2","1","1","-","2","4","1","2","1","1","2","1","3","1","-","4","2","2","2","1","3","1","-","1","1","4","1","-","-","1","1","-","1","1","-","-","-","-","1","-","-"
"211","Ye U","AREA # 050206","2","Yes - some difficulty","-","2","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","1","-","2"
"212","Ye U","AREA # 050206","4","Yes - cannot see at all","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"213","Depayin","AREA # 050207","1","No - no difficulty","576","1159","1291","1198","1262","1256","1194","1257","1125","763","522","401","310","254","173","124","56","37","19","7","11","11","6","9","7","7","7","7","3","4","5","2","1","1","4","4","-","-","5","2","5","3","-","2","3","2","2","-","1","4","-","2","-","2","-","-","-","1","-","1","1","-","-","2","1","-","1","1","1","-","-","-","-","1","1","2","-","-","1","-","-","-","-","1","-","1"
"214","Depayin","AREA # 050207","2","Yes - some difficulty","-","-","1","1","-","1","3","1","-","-","-","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","1"
"215","Depayin","AREA # 050207","3","Yes - a lot of difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-"
"216","Depayin","AREA # 050207","4","Yes - cannot see at all","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"217","Tasei","AREA # 050208","1","No - no difficulty","687","1350","1531","1499","1536","1641","1508","1627","1623","1203","878","720","496","341","185","122","64","41","28","18","17","11","12","13","8","14","7","6","11","6","8","7","9","11","6","4","-","4","3","2","4","5","2","2","1","5","2","3","2","2","2","2","1","5","1","1","1","1","3","1","-","1","1","1","1","5","1","1","1","3","1","2","-","1","-","2","2","-","-","-","4","1","-","-","-","-"
"218","Tasei","AREA # 050208","2","Yes - some difficulty","-","1","-","2","3","2","1","1","4","-","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"219","Tasei","AREA # 050208","3","Yes - a lot of difficulty","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","-","-","-","-"
"220","Tasei","AREA # 050208","4","Yes - cannot see at all","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"221","Kyaukmyaung(ST)","AREA # 050251","1","No - no difficulty","102","239","239","212","220","251","243","222","202","149","99","91","73","50","30","29","12","13","5","2","5","3","2","4","4","4","-","1","-","1","4","2","2","2","-","2","1","1","-","-","-","-","-","-","1","-","1","-","-","1","-","-","2","1","-","2","-","1","-","-","3","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"222","Kyaukmyaung(ST)","AREA # 050251","2","Yes - some difficulty","-","-","-","-","1","1","-","2","1","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"223","Monywa","AREA # 050301","1","No - no difficulty","710","1923","2408","2173","2150","2325","2223","2171","2152","1817","1477","1171","1154","1063","761","584","370","215","116","68","61","33","47","29","31","34","14","19","18","12","25","9","18","11","14","18","14","17","11","13","13","6","10","13","2","4","11","6","5","4","9","4","9","7","5","10","6","5","9","4","9","5","6","1","3","7","3","2","2","1","9","-","3","3","2","4","-","3","1","-","4","1","1","1","2","4"
"224","Monywa","AREA # 050301","2","Yes - some difficulty","-","2","2","1","-","2","4","1","3","2","6","4","9","4","3","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","1","-","-","-","1","-","-","-","-","1","1","-","-","1","2","1","-","-","1","-","1","-","-","-","-","1","-","-","-","-","-","1","1","1","-","-"
"225","Monywa","AREA # 050301","3","Yes - a lot of difficulty","-","-","-","-","-","1","-","-","-","-","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"226","Monywa","AREA # 050301","4","Yes - cannot see at all","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","1","-","-","-","-","-","-","-"
"227","Butalin","AREA # 050302","1","No - no difficulty","381","1043","1142","1001","1098","1074","1077","1029","1001","672","491","371","314","249","165","109","54","40","22","10","12","10","6","9","15","5","4","2","6","5","1","4","7","1","1","6","4","1","4","2","3","1","1","1","1","2","-","-","4","-","3","-","3","-","2","1","-","-","1","1","1","-","1","1","2","1","1","-","1","1","1","-","-","-","2","1","-","-","-","1","-","-","-","-","-","-"
"228","Butalin","AREA # 050302","2","Yes - some difficulty","-","1","-","1","1","1","-","1","2","1","2","1","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"229","Butalin","AREA # 050302","3","Yes - a lot of difficulty","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"230","Butalin","AREA # 050302","4","Yes - cannot see at all","-","-","-","-","-","1","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"231","Ayartaw","AREA # 050303","1","No - no difficulty","507","1094","1337","1172","1244","1263","1205","1237","1081","734","507","385","346","272","160","102","45","35","24","15","20","16","14","8","4","15","3","3","8","6","5","6","4","2","8","6","-","2","3","1","6","2","1","-","2","3","1","2","3","-","3","3","1","3","1","-","1","2","2","1","1","1","3","1","2","6","1","2","-","1","2","-","-","1","1","2","-","2","2","1","1","-","2","-","1","-"
"232","Ayartaw","AREA # 050303","2","Yes - some difficulty","2","-","-","-","1","1","2","-","1","-","1","1","1","-","-","2","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-"
"233","Ayartaw","AREA # 050303","3","Yes - a lot of difficulty","-","1","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-"
"234","Ayartaw","AREA # 050303","4","Yes - cannot see at all","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-"
"235","Chaung Oo","AREA # 050304","1","No - no difficulty","282","700","784","696","698","693","679","647","609","493","401","269","243","222","138","107","53","41","25","5","10","7","4","8","6","11","3","8","6","1","6","4","3","3","5","2","3","2","5","1","9","-","2","3","1","5","-","-","3","1","1","1","1","-","-","3","-","1","1","1","1","-","-","1","2","4","-","-","1","-","1","-","-","-","-","-","1","2","1","-","1","-","1","-","-","1"
"236","Chaung Oo","AREA # 050304","2","Yes - some difficulty","-","-","-","-","-","1","1","-","-","2","-","3","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"237","Chaung Oo","AREA # 050304","3","Yes - a lot of difficulty","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"238","Chaung Oo","AREA # 050304","4","Yes - cannot see at all","-","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"239","Katha","AREA # 050401","1","No - no difficulty","637","1524","1692","1647","1655","1701","1533","1663","1463","1084","728","554","400","341","206","141","85","54","41","16","24","12","13","9","7","11","6","9","4","7","6","4","1","4","6","7","4","3","4","5","2","5","4","1","1","2","3","-","-","2","-","2","-","3","1","1","-","1","1","1","4","1","-","1","1","1","1","1","-","1","1","-","1","-","-","-","-","1","-","-","1","-","-","-","1","2"
"240","Katha","AREA # 050401","2","Yes - some difficulty","-","-","3","-","2","-","1","-","1","2","-","4","1","-","2","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-"
"241","Katha","AREA # 050401","3","Yes - a lot of difficulty","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"242","Indaw","AREA # 050402","1","No - no difficulty","427","1070","1286","1259","1249","1193","1009","1167","1001","789","535","458","340","266","178","108","81","37","14","18","15","8","9","11","8","12","7","10","4","4","4","4","6","5","3","1","2","3","3","3","5","6","3","2","1","1","1","-","-","-","1","-","1","1","1","1","-","1","1","2","3","1","2","-","-","1","1","2","-","-","1","-","1","-","1","1","-","-","-","-","2","-","-","-","1","-"
"243","Indaw","AREA # 050402","2","Yes - some difficulty","-","1","1","3","-","-","-","1","1","1","-","1","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"244","Indaw","AREA # 050402","3","Yes - a lot of difficulty","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"245","Indaw","AREA # 050402","4","Yes - cannot see at all","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"246","Tigyaing","AREA # 050403","1","No - no difficulty","412","976","1200","1121","1204","1149","1067","1049","910","655","466","327","300","215","154","110","58","39","21","15","15","9","7","6","7","9","7","5","3","4","4","1","2","2","3","2","2","1","1","1","-","1","-","1","-","3","1","2","1","1","3","2","2","-","-","5","-","1","1","1","2","2","4","2","-","3","-","1","-","1","2","2","-","1","-","-","-","2","1","1","-","1","-","1","-","-"
"247","Tigyaing","AREA # 050403","2","Yes - some difficulty","-","1","-","-","1","-","2","4","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"248","Tigyaing","AREA # 050403","3","Yes - a lot of difficulty","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"249","Banmauk","AREA # 050404","1","No - no difficulty","410","1037","1159","1160","1109","1158","1032","1018","894","647","389","314","233","168","113","77","56","32","22","15","10","5","4","9","4","6","4","-","2","3","5","3","3","4","3","-","-","1","2","4","1","-","1","-","1","-","-","2","1","-","2","-","-","-","-","-","-","1","-","-","-","-","-","-","-","2","-","-","-","-","-","-","1","-","-","-","-","-","1","-","-","-","-","-","-","-"
"250","Banmauk","AREA # 050404","2","Yes - some difficulty","-","-","1","1","2","-","1","-","1","-","-","1","3","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"251","Banmauk","AREA # 050404","3","Yes - a lot of difficulty","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"252","Kawlin","AREA # 050405","1","No - no difficulty","479","1054","1131","1130","1149","1218","1109","1101","956","719","509","391","364","278","164","118","57","47","29","19","19","6","8","6","5","10","6","4","9","4","9","2","3","4","1","7","4","3","3","4","3","4","1","2","1","-","2","3","1","-","3","1","1","1","1","2","2","3","2","2","1","2","-","2","1","-","-","2","1","-","-","2","1","2","-","1","-","-","-","2","1","-","1","-","-","-"
"253","Kawlin","AREA # 050405","2","Yes - some difficulty","-","-","-","-","-","-","-","-","1","5","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-"
"254","Kawlin","AREA # 050405","3","Yes - a lot of difficulty","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"255","Wuntho","AREA # 050406","1","No - no difficulty","256","595","660","633","673","675","556","525","526","381","271","252","176","166","103","67","45","33","23","7","9","5","6","4","3","7","1","2","3","3","1","3","1","1","-","2","-","-","2","2","2","2","1","-","2","-","1","-","-","1","-","2","-","-","-","-","1","-","-","-","2","1","-","-","-","-","1","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"256","Wuntho","AREA # 050406","2","Yes - some difficulty","-","-","1","-","-","-","-","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"257","Pinlebu","AREA # 050407","1","No - no difficulty","529","981","1138","1062","1046","1069","880","882","694","548","388","306","241","176","102","76","35","24","18","15","19","12","5","4","7","5","3","4","2","4","1","3","4","3","2","2","2","2","-","3","4","1","1","2","-","3","1","4","2","1","3","-","1","-","2","1","-","1","2","-","1","2","1","-","-","-","1","2","-","1","-","1","-","1","-","1","1","-","1","-","-","-","-","-","-","-"
"258","Pinlebu","AREA # 050407","2","Yes - some difficulty","-","1","-","-","1","1","1","1","1","1","-","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","1","-","-","-","-","-","-","-","-"
"259","Pinlebu","AREA # 050407","3","Yes - a lot of difficulty","-","1","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"260","Kalay","AREA # 050501","1","No - no difficulty","1101","2852","3262","3158","3204","3183","3017","3207","3037","2457","1834","1661","1385","1161","716","486","280","193","111","86","42","41","42","36","28","28","18","26","21","13","16","14","9","6","7","11","3","10","7","3","10","5","7","9","4","4","2","5","5","4","5","2","5","8","1","7","1","1","1","3","6","4","2","2","2","3","1","2","4","4","3","2","1","4","1","4","1","-","1","2","-","1","1","-","-","-"
"261","Kalay","AREA # 050501","2","Yes - some difficulty","3","-","2","-","2","2","2","2","4","8","6","3","6","1","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","2","-","1","-","-","-","1","-","-","-","1","-","-","-","-","-","1","-","-","-","-","-","1","1","-","-","-","-","2","-","-","-","-","-","-","-","1","-","-","-","-","-","-"
"262","Kalay","AREA # 050501","3","Yes - a lot of difficulty","1","1","-","-","-","1","2","-","-","-","-","-","-","-","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"263","Kalay","AREA # 050501","4","Yes - cannot see at all","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"264","Kalewa","AREA # 050502","1","No - no difficulty","199","533","539","499","510","531","555","494","428","313","254","161","132","116","49","28","20","12","11","7","3","3","3","3","2","-","-","1","1","2","2","2","2","-","1","2","1","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","-","2","-","-","-","-","-","-","-","-","-","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"265","Kalewa","AREA # 050502","2","Yes - some difficulty","-","-","1","-","1","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"266","Mingin","AREA # 050503","1","No - no difficulty","485","916","1030","871","999","953","878","917","894","687","529","393","352","255","188","116","71","37","26","9","9","11","9","7","4","3","8","4","2","10","3","2","5","2","5","4","3","2","3","7","3","2","-","3","1","2","3","4","1","1","-","1","3","1","2","-","-","1","-","-","1","-","1","2","-","1","-","-","-","1","-","1","1","1","-","1","-","-","-","-","-","-","1","-","-","-"
"267","Mingin","AREA # 050503","2","Yes - some difficulty","-","-","-","1","-","-","2","-","-","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"268","Mingin","AREA # 050503","3","Yes - a lot of difficulty","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"269","Tamu","AREA # 050601","1","No - no difficulty","207","582","637","638","539","542","516","578","583","501","352","305","214","168","102","58","30","28","21","11","12","12","6","8","2","6","2","2","2","5","-","6","4","-","-","6","2","4","1","-","2","-","-","2","1","2","-","2","1","-","2","-","-","-","-","-","-","-","-","-","1","-","1","-","-","-","-","2","-","-","1","-","-","-","1","-","1","-","-","-","-","-","-","-","-","-"
"270","Tamu","AREA # 050601","2","Yes - some difficulty","-","-","-","1","1","1","1","1","-","2","2","-","1","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2"
"271","Myothit(ST)","AREA # 050651","1","No - no difficulty","95","201","234","225","211","182","192","183","166","137","110","65","52","24","17","18","10","6","1","-","3","1","3","-","1","1","1","-","-","2","1","-","3","1","-","-","-","-","-","-","1","-","1","1","-","-","1","-","-","1","-","-","-","-","-","-","-","1","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1"
"272","Myothit(ST)","AREA # 050651","2","Yes - some difficulty","-","-","-","-","-","-","1","1","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
